Event	ID	Name			Wwise Object Path	Notes
	203475710	ev_conveyer_belt			\Default Work Unit\ev_conveyer_belt	
	546473655	ev_impact_move			\Default Work Unit\ev_impact_move	
	761977599	ev_bridge_fixed_01			\Default Work Unit\ev_bridge_fixed_01	
	794110178	ev_screaching_metal			\Default Work Unit\ev_screaching_metal	
	878682118	ev_servo			\Default Work Unit\ev_servo	
	1125063709	ev_mushroom			\Default Work Unit\ev_mushroom	
	1635355777	ev_switch_on			\Default Work Unit\ev_switch_on	
	1994831277	ev_sfx_birds			\Default Work Unit\ev_sfx_birds	
	2110301309	ev_amb_switcher			\Default Work Unit\ev_amb_switcher	
	2635617457	ev_whoosh			\Default Work Unit\ev_whoosh	
	2793993496	ev_sfx_running_water			\Default Work Unit\ev_sfx_running_water	
	3244770519	ev_machinery_move			\Default Work Unit\ev_machinery_move	
	3702741518	ev_birds_wings_flapping			\Default Work Unit\ev_birds_wings_flapping	
	3893023783	ev_seagulls			\Default Work Unit\ev_seagulls	

Switch Group	ID	Name			Wwise Object Path	Notes
	3132623609	amb_area			\Default Work Unit\amb_area	

Switch	ID	Name	Switch Group			Notes
	3273955074	hub_area	amb_area			
	3280944338	green_area	amb_area			
	3617620722	red_area	amb_area			
	3704253823	blue_area	amb_area			

Effect plug-ins	ID	Name	Type				Notes
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5092265	Spectrum - Impact_move_02	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Spectrum - Impact_move_02_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\Machinery\sfx_impact_move\Spectrum - Impact_move_02		6418
	13258466	Matter2D - sfx_amb_seagulls-005	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Matter2D - sfx_amb_seagulls-005_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\AreaLoop\sfx_wind\sfx_amb\sfx_seagulls\Matter2D - sfx_amb_seagulls-005		4256
	41154255	Spectrum - sfx_switch_on	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Spectrum - sfx_switch_on_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\Switches\sfx_switch_on\Spectrum - sfx_switch_on		1651
	56239873	Spectrum_ambience_birds_chirping-003	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Spectrum_ambience_birds_chirping-003_9F08964D.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\AreaLoop\sfx_wind\sfx_amb\sfx_birds\Spectrum_ambience_birds_chirping-003		14966
	87814680	Spectrum - sfx_plant_skrink_02	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Spectrum - sfx_plant_skrink_02_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\Interactables\sfx_mushroom\sfx_mushroom_srink\Spectrum - sfx_plant_skrink_02		13560
	91397311	Matter2D - sfx_amb_birds_wings_flapping	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Matter2D - sfx_amb_birds_wings_flapping_D9363DA3.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\AreaLoop\sfx_wind\sfx_amb\sfx_birds_wings_flapping\Matter2D - sfx_amb_birds_wings_flapping		9763
	92162275	Spectrum - servo_move_02	I:\Applications (x86)\Unity Projects\Collab Projects\new project colour\ProjectColour\Project Colour\Project Colour_WwiseProject\.cache\Windows\SFX\Spectrum - servo_move_02_05842A19.wem		\Actor-Mixer Hierarchy\Default Work Unit\gameMix\Environment\Machinery\sfx_servo\Spectrum - servo_move_02		16145
